[2026-08-14 04:16:06.329] [7] INFO  Window state changed: foreground=False, visible=False, minimized=False, bounds=0,0 1707x960, requestedVisible=True, inputMode=Passive
[2026-08-14 04:16:06.497] [7] INFO  Window state changed: foreground=True, visible=True, minimized=False, bounds=0,0 1707x960, requestedVisible=True, inputMode=Passive
[2026-08-14 04:16:07.701] [22] INFO  Page closed: HtmlUiConsumerTestMod.consumer.test
[2026-08-14 04:16:07.745] [7] INFO  Window state changed: foreground=True, visible=False, minimized=False, bounds=0,0 1707x960, requestedVisible=False, inputMode=Hidden
[2026-08-14 04:16:08.830] [7] INFO  Window state changed: foreground=False, visible=False, minimized=False, bounds=0,0 1707x960, requestedVisible=False, inputMode=Hidden
[2026-08-14 04:16:10.362] [7] INFO  Window state changed: foreground=True, visible=False, minimized=False, bounds=0,0 1707x960, requestedVisible=False, inputMode=Hidden
[2026-08-14 04:16:11.168] [7] WARN  Bannerlord main window could not be resolved. hwnd=0
[2026-08-14 04:16:11.168] [7] INFO  Window state changed: foreground=False, visible=False, minimized=False, bounds=0,0 0x0, requestedVisible=False, inputMode=Hidden
[2026-08-14 04:16:11.357] [22] INFO  Consumer scope disposed after Framework shutdown: HtmlUiConsumerTestMod
[2026-08-14 04:16:11.359] [7] INFO  WebView2 UI thread message loop exited.
